ESTADO;CÓDIGO;CONCATENADO2;DESC. COMPONENTE;CLASSE;GRUPO;FORNECEDOR;CUSTO UND (ATUAL);CUSTO TOTAL (ATUAL);MÊS;ANO;MÊS/ANO;
PR;2701070006;PR2701070006;ACESSULFAME DE POTASSIO;EDULCORANTE;XAROPARIA;DAXIA;28,53;5706;MAR;2024;03/2024;
PR;2701070006;PR2701070006;ACESSULFAME DE POTASSIO;EDULCORANTE;XAROPARIA;GERAL;28,53;6419,25;ABR;2024;04/2024;
MS;2701070006;MS2701070006;ACESSULFAME DE POTASSIO;EDULCORANTE;XAROPARIA;GERAL;28,53;4992,75;ABR;2024;04/2024;
MS;2701090002;MS2701090002;ACIDO CITRICO;ACID.E CONSERV.;REF/ENER/ROM/DEL;GERAL;8,95;268500;ABR;2024;04/2024;
MS;2701090003;MS2701090003;ACIDO LACTICO - IBC;CERVEJARIA;OUTROS;GERAL;10,41;0;MAR;2024;03/2024;
MS;2701090003;MS2701090003;ACIDO LACTICO - IBC;CERVEJARIA;OUTROS;GERAL;10,41;5205;MAI;2024;05/2024;
PA;12038514;PA12038514;ACIDO PERACETICO DIVOSAN FORT;NÃO PRODUTIVO;CIP;GERAL;0;0;ABR;2024;04/2024;
MS;2701090004;MS2701090004;ACIDO TARTARICO ;ACID.E CONSERV.;NOCH/TON/BEL;MCASSAB;35,5;3550;MAR;2024;03/2024;
PR;2801090003;PR2801090003;ACIDO TARTARICO;ACID.E CONSERV.;NOCH/TON/BEL;MCASSAB;35,5;3550;MAR;2024;03/2024;
MS;2701080001;MS2701080001;ACUCAR CRISTAL;AÇUCAR;XAROPARIA;GERAL;1,84;0;MAR;2024;03/2024;
PR;2701080001;PR2701080001;ACUCAR CRISTAL;AÇUCAR;XAROPARIA;GERAL;1,84;0;MAR;2024;03/2024;
MS;2701080001;MS2701080001;ACUCAR CRISTAL;AÇUCAR;XAROPARIA;GERAL;1,84;370944;ABR;2024;04/2024;
PR;2701080001;PR2701080001;ACUCAR CRISTAL;AÇUCAR;XAROPARIA;GERAL;1,84;516672;ABR;2024;04/2024;
